"event","pathogen","start_date","end_date","country","cuml_cases","cuml_confirmed_cases","cuml_deaths","cuml_confirmed_deaths","source"
"Bordetella pertussis_Denmark_2019","Bordetella pertussis","2019-01-01","2020-03-31","",5784,"","","","Denmark SSI Monitoring in Figures Graphs and Maps"
"Bordetella pertussis_Denmark_2019","Bordetella pertussis","2019-01-01","2020-03-31","Denmark",5784,"","","","Denmark SSI Monitoring in Figures Graphs and Maps"
"Bordetella pertussis_Russia_2018","Bordetella pertussis","2018-01-01","2018-12-31","",10421,"","","","Rospotrebnadzor"
"Bordetella pertussis_Russia_2018","Bordetella pertussis","2018-01-01","2018-12-31","Russia",10421,"","","","Rospotrebnadzor"
"Borna disease virus 1_Germany_2018","Mammalian 1 bornavirus","2018-03-07","2018-03-07","",4,"4","3","3","ECDC Rapid Risk Assessments"
"Borna disease virus 1_Germany_2018","Mammalian 1 bornavirus","2018-03-07","2018-03-07","Germany",4,"4","3","3","ECDC Rapid Risk Assessments"
"Borrelia burgdorferi_United States_2015","Borrelia burgdorferi","2015-01-01","2015-12-31","",38069,"28453","","","CDC"
"Borrelia burgdorferi_United States_2015","Borrelia burgdorferi","2015-01-01","2015-12-31","United States",38069,"28453","","","CDC"
"Borrelia burgdorferi_United States_2016","Borrelia burgdorferi","2016-01-01","2016-12-31","",36429,"26203","","","CDC"
"Borrelia burgdorferi_United States_2016","Borrelia burgdorferi","2016-01-01","2016-12-31","United States",36429,"26203","","","CDC"
"Borrelia burgdorferi_United States_2017","Borrelia burgdorferi","2017-01-01","2017-12-31","",42743,"29513","","","CDC Lyme Disease Data Tables"
"Borrelia burgdorferi_United States_2017","Borrelia burgdorferi","2017-01-01","2017-12-31","United States",42743,"29513","","","CDC Lyme Disease Data Tables"
"Brucella sp._Algeria_2019","Brucella sp.","2019-01-01","2019-07-18","",168,"","","","Media"
"Brucella sp._Algeria_2019","Brucella sp.","2019-01-01","2019-07-18","Algeria",168,"","","","Media"
"Brucella sp._China_2019","Brucella sp.","2019-11-01","2020-11-05","",6633,"6633","","","Media"
"Brucella sp._China_2019","Brucella sp.","2019-11-01","2020-11-05","China",6633,"6633","","","Media"
"Brucella sp._Ecuador_2018","Brucella sp.","2018-01-07","2018-12-29","",35,"","","","Ecuador Ministerio de Salud Publica Gacetas Epidemiologicas"
"Brucella sp._Ecuador_2018","Brucella sp.","2018-01-07","2018-12-29","Ecuador",35,"","","","Ecuador Ministerio de Salud Publica Gacetas Epidemiologicas"
"Brucella sp._Iran_2018","Brucella sp.","2018-03-01","2019-03-31","",16000,"","","","Media"
"Brucella sp._Iran_2018","Brucella sp.","2018-03-01","2019-03-31","Iran",16000,"","","","Media"
"Brucella sp._Spain_2017","Brucella sp.","2017-05-01","2017-07-21","",12,"","","","Multisource Fusion"
"Brucella sp._Spain_2017","Brucella sp.","2017-05-01","2017-07-21","Spain",12,"","","","Multisource Fusion"
"Brucella sp._Turkey_2019","Brucella sp.","2019-01-01","2019-07-30","",119,"","","","Media"
"Brucella sp._Turkey_2019","Brucella sp.","2019-01-01","2019-07-30","Turkey",119,"","","","Media"
"Burkholderia mallei_Brazil_2017","Burkholderia mallei","2017-08-17","2017-08-23","",1,"","","","Media"
"Burkholderia mallei_Brazil_2017","Burkholderia mallei","2017-08-17","2017-08-23","Brazil",1,"","","","Media"
"Burkholderia pseudomallei_Vietnam_2019","Burkholderia pseudomallei","2019-01-01","2019-08-31","",20,"1","4","","Media"
"Burkholderia pseudomallei_Vietnam_2019","Burkholderia pseudomallei","2019-01-01","2019-08-31","Vietnam",20,"1","4","","Media"
"Burkholderia psuedomallei_Australia_2017","Burkholderia pseudomallei","2016-10-01","2017-04-18","",43,"","5","","Multisource Fusion"
"Burkholderia psuedomallei_Australia_2017","Burkholderia pseudomallei","2016-10-01","2017-04-18","Australia",43,"","5","","Multisource Fusion"
"Campylobacter jejuni_Denmark_2019_Chicken","Campylobacter jejuni","2019-01-28","2019-09-08","",80,"80","","","Denmark SSI Disease Outbreaks"
"Campylobacter jejuni_Denmark_2019_Chicken","Campylobacter jejuni","2019-01-28","2019-09-08","Denmark",80,"80","","","Denmark SSI Disease Outbreaks"
"Campylobacter jejuni_Peru_2019_Guillain-Barre Syndrome","Campylobacter jejuni","2019-01-01","2019-12-31","",700,"","","","WHO DON"
"Campylobacter jejuni_Peru_2019_Guillain-Barre Syndrome","Campylobacter jejuni","2019-01-01","2019-12-31","Peru",700,"","","","WHO DON"
"Campylobacter jejuni_United States_2019_Pet store puppies","Campylobacter jejuni","2019-01-06","2021-01-02","",56,"56","0","","CDC Reports of Selected Campylobacter Outbreaks Investigations"
"Campylobacter jejuni_United States_2019_Pet store puppies","Campylobacter jejuni","2019-01-06","2021-01-02","United States",56,"56","0","","CDC Reports of Selected Campylobacter Outbreaks Investigations"
"Campylobacter sp._Denmark_2020_Dairy milk","Campylobacter sp.","2020-05-28","2020-06-05","",107,"107","","","Denmark SSI News"
"Campylobacter sp._Denmark_2020_Dairy milk","Campylobacter sp.","2020-05-28","2020-06-05","Denmark",107,"107","","","Denmark SSI News"
"Campylobacter sp._Norway_2019","Campylobacter sp.","2019-06-06","2019-06-13","",1011,"","1","","Askoy Municipality News"
"Campylobacter sp._Norway_2019","Campylobacter sp.","2019-06-06","2019-06-13","Norway",1011,"","1","","Askoy Municipality News"
"Campylobacter sp._United States_2016_Puppies","Campylobacter sp.","2016-01-12","2018-01-07","",113,"38","0","","CDC"
"Campylobacter sp._United States_2016_Puppies","Campylobacter sp.","2016-01-12","2018-01-07","United States",113,"38","0","","CDC"
"Candida auris_Austria_2018","Candida auris","2018-01-01","2018-01-31","",1,"1","","","ECDC Rapid Risk Assessments"
"Candida auris_Austria_2018","Candida auris","2018-01-01","2018-01-31","Austria",1,"1","","","ECDC Rapid Risk Assessments"
"Candida auris_Brazil_2020","Candida auris","2020-12-07","2020-12-30","",3,"3","","","PAHO Epidemiological Alerts"
"Candida auris_Brazil_2020","Candida auris","2020-12-07","2020-12-30","Brazil",3,"3","","","PAHO Epidemiological Alerts"
"Candida auris_Canada_2017","Candida auris","2017-05-01","2017-07-31","",2,"2","","","Multisource Fusion"
"Candida auris_Canada_2017","Candida auris","2017-05-01","2017-07-31","Canada",2,"2","","","Multisource Fusion"
"Candida auris_Colombia_2015","Candida auris","2015-01-01","2020-12-31","",1113,"1113","","","PAHO Epidemiological Alerts"
"Candida auris_Colombia_2015","Candida auris","2015-01-01","2020-12-31","Colombia",1113,"1113","","","PAHO Epidemiological Alerts"
"Candida auris_Greece_2019","Candida auris","2019-04-01","2019-04-30","",1,"1","","","Eurosurveillance"
"Candida auris_Greece_2019","Candida auris","2019-04-01","2019-04-30","Greece",1,"1","","","Eurosurveillance"
"Candida auris_Guatemala_2020","Candida auris","2020-12-01","2020-12-31","",2,"2","","","PAHO Epidemiological Alerts"
"Candida auris_Guatemala_2020","Candida auris","2020-12-01","2020-12-31","Guatemala",2,"2","","","PAHO Epidemiological Alerts"
"Candida auris_Italy_2019","Candida auris","2019-07-01","2021-12-31","",289,"289","","","ECDC Rapid Risk Assessments"
"Candida auris_Italy_2019","Candida auris","2019-07-01","2021-12-31","Italy",289,"289","","","ECDC Rapid Risk Assessments"
"Candida auris_Mexico_2020","Candida auris","2020-05-01","2020-08-31","",11,"11","","","PAHO Epidemiological Alerts"
"Candida auris_Mexico_2020","Candida auris","2020-05-01","2020-08-31","Mexico",11,"11","","","PAHO Epidemiological Alerts"
"Candida auris_Oman_2016","Candida auris","2016-08-25","2017-02-28","",7,"7","4","4","Multisource Fusion"
"Candida auris_Oman_2016","Candida auris","2016-08-25","2017-02-28","Oman",7,"7","4","4","Multisource Fusion"
"Candida auris_Peru_2020","Candida auris","2020-11-15","2020-11-21","",2,"2","","","PAHO Epidemiological Alerts"
"Candida auris_Peru_2020","Candida auris","2020-11-15","2020-11-21","Peru",2,"2","","","PAHO Epidemiological Alerts"
"Candida auris_United Kingdom_2015","Candida auris","2015-02-02","2017-08-31","",70,"70","0","","The New England Journal of Medicine"
"Candida auris_United Kingdom_2015","Candida auris","2015-02-02","2017-08-31","United Kingdom",70,"70","0","","The New England Journal of Medicine"
"Chapare virus_Bolivia_2019","Chapare virus","2019-01-01","2019-11-18","",5,"5","3","3","CDC Chapare Hemorrhagic Fever"
"Chapare virus_Bolivia_2019","Chapare virus","2019-01-01","2019-11-18","Bolivia",5,"5","3","3","CDC Chapare Hemorrhagic Fever"
"Chikungunya virus_Argentina_2015","Chikungunya virus","2015-01-01","2016-02-27","",2311,"76","","","WHO DON"
"Chikungunya virus_Argentina_2015","Chikungunya virus","2015-01-01","2016-02-27","Argentina",2311,"76","","","WHO DON"
"Chikungunya virus_Bangladesh_2017","Chikungunya virus","2017-04-01","2017-09-07","",13176,"984","","","The Lancet"
"Chikungunya virus_Bangladesh_2017","Chikungunya virus","2017-04-01","2017-09-07","Bangladesh",13176,"984","","","The Lancet"
"Chikungunya virus_Brazil_2019","Chikungunya virus","2018-12-30","2019-12-28","",132205,"63854","121","92","Brasil Ministerio da Saude Boletim Epidemiologico"
"Chikungunya virus_Brazil_2019","Chikungunya virus","2018-12-30","2019-12-28","Brazil",132205,"63854","121","92","Brasil Ministerio da Saude Boletim Epidemiologico"
"Chikungunya virus_Chad_2020","Chikungunya virus","2020-03-30","2020-11-22","",40718,"22","1","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_Chad_2020","Chikungunya virus","2020-03-30","2020-11-22","Chad",40718,"22","1","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_Democratic Republic of the Congo_2018","Chikungunya virus","2018-09-30","2019-05-12","",1181,"426","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_Democratic Republic of the Congo_2018","Chikungunya virus","2018-09-30","2019-05-12","Democratic Republic of the Congo",1181,"426","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_El Salvador_2019","Chikungunya virus","2018-12-30","2019-12-28","",683,"","0","","El Salvador Ministerio de Salud Boletin Epidemiologico"
"Chikungunya virus_El Salvador_2019","Chikungunya virus","2018-12-30","2019-12-28","El Salvador",683,"","0","","El Salvador Ministerio de Salud Boletin Epidemiologico"
"Chikungunya virus_Ethiopia_2019","Chikungunya virus","2019-07-24","2019-12-08","",54908,"29","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_Ethiopia_2019","Chikungunya virus","2019-07-24","2019-12-08","Ethiopia",54908,"29","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_France_2017","Chikungunya virus","2017-08-02","2017-10-08","",17,"13","","","Multisource Fusion"
"Chikungunya virus_France_2017","Chikungunya virus","2017-08-02","2017-10-08","France",17,"13","","","Multisource Fusion"
"Chikungunya virus_Italy_2017","Chikungunya virus","2017-06-26","2017-12-21","",489,"270","1","1","Multisource Fusion"
"Chikungunya virus_Italy_2017","Chikungunya virus","2017-10-06","2017-12-21","France",1,"1","","","Multisource Fusion"
"Chikungunya virus_Italy_2017","Chikungunya virus","2017-10-06","2017-12-21","Germany",1,"1","","","Multisource Fusion"
"Chikungunya virus_Italy_2017","Chikungunya virus","2017-06-26","2017-12-21","Italy",487,"268","1","1","Multisource Fusion"
"Chikungunya virus_Kenya_2016","Chikungunya virus","2016-05-01","2016-06-30","",1792,"","0","","WHO DON"
"Chikungunya virus_Kenya_2016","Chikungunya virus","2016-05-01","2016-06-30","Kenya",1792,"","0","","WHO DON"
"Chikungunya virus_Kenya_2017","Chikungunya virus","2017-12-13","2018-02-03","",453,"32","","","WHO DON"
"Chikungunya virus_Kenya_2017","Chikungunya virus","2017-12-13","2018-02-03","Kenya",453,"32","","","WHO DON"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-01-01","2019-12-31","",140,"69","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-08-01","2019-10-31","France",3,"3","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-02-01","2019-10-31","Germany",3,"3","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-07-01","2019-09-30","Italy",5,"5","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-07-01","2019-12-31","Japan",28,"28","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-09-01","2019-09-30","Laos",1,"1","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-01-01","2019-09-21","Myanmar (Burma)",97,"26","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-08-01","2019-08-31","Spain",2,"2","","","Multisource Fusion"
"Chikungunya virus_Myanmar_2019","Chikungunya virus","2019-07-01","2019-07-31","United States",1,"1","","","Multisource Fusion"
"Chikungunya virus_Pakistan_2016","Chikungunya virus","2016-12-19","2018-05-06","",8521,"147","0","","Multisource Fusion"
"Chikungunya virus_Pakistan_2016","Chikungunya virus","2016-12-19","2018-05-06","Pakistan",8521,"147","0","","Multisource Fusion"
"Chikungunya virus_Republic of the Congo_2019","Chikungunya virus","2018-12-31","2020-08-02","",11671,"148","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_Republic of the Congo_2019","Chikungunya virus","2018-12-31","2020-08-02","Republic of the Congo",11671,"148","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Chikungunya virus_Senegal_2015","Chikungunya virus","2015-08-27","2015-09-08","",14,"10","","","WHO DON"
"Chikungunya virus_Senegal_2015","Chikungunya virus","2015-08-27","2015-09-08","Senegal",14,"10","","","WHO DON"
"Chikungunya virus_Sudan_2018","Chikungunya virus","2018-05-31","2018-10-02","",13978,"","0","","WHO DON"
"Chikungunya virus_Sudan_2018","Chikungunya virus","2018-05-31","2018-10-02","Sudan",13978,"","0","","WHO DON"
"Chikungunya virus_Sudan_2019","Chikungunya virus","2019-10-02","2020-01-08","",296,"","5","","UN OCHA Sudan Situation Report"
"Chikungunya virus_Sudan_2019","Chikungunya virus","2019-10-02","2020-01-08","Sudan",296,"","5","","UN OCHA Sudan Situation Report"
"Chikungunya virus_Sudan_2020","Chikungunya virus","2020-03-01","2020-10-22","",248,"","1","","UN OCHA Sudan Situation Report"
"Chikungunya virus_Sudan_2020","Chikungunya virus","2020-03-01","2020-10-22","Sudan",248,"","1","","UN OCHA Sudan Situation Report"
"Chikungunya virus_Thailand_2018","Chikungunya virus","2018-01-01","2018-12-31","",3578,"","0","","Thailand DDC National Disease Surveillance Reports"
"Chikungunya virus_Thailand_2018","Chikungunya virus","2018-01-01","2018-12-31","Thailand",3578,"","0","","Thailand DDC National Disease Surveillance Reports"
"Chikungunya virus_Thailand_2019","Chikungunya virus","2019-01-01","2019-12-31","",11499,"15","","","Multisource Fusion"
"Chikungunya virus_Thailand_2019","Chikungunya virus","2019-07-13","2019-07-13","Hong Kong",3,"3","","","Multisource Fusion"
"Chikungunya virus_Thailand_2019","Chikungunya virus","2019-06-02","2019-06-03","Singapore",12,"12","","","Multisource Fusion"
"Chikungunya virus_Thailand_2019","Chikungunya virus","2019-01-01","2019-12-31","Thailand",11484,"","0","","Multisource Fusion"
"Chikungunya virus_United States_2015","Chikungunya virus","2015-11-01","2015-11-30","",1,"1","0","","WHO DON"
"Chikungunya virus_United States_2015","Chikungunya virus","2015-11-01","2015-11-30","United States",1,"1","0","","WHO DON"
"Chlamydophila psittaci_Sweden_2018","Chlamydophila psittaci","2018-11-01","2019-03-13","",61,"","","","Sweden Folkhalsomyndigheten Utbrott"
"Chlamydophila psittaci_Sweden_2018","Chlamydophila psittaci","2018-11-01","2019-03-13","Sweden",61,"","","","Sweden Folkhalsomyndigheten Utbrott"
"Chlamydophila psittaci_Sweden_2019","Chlamydophila psittaci","2019-10-01","2020-04-20","",45,"","","","Sweden Folkhalsomyndigheten Utbrott"
"Chlamydophila psittaci_Sweden_2019","Chlamydophila psittaci","2019-10-01","2020-04-20","Sweden",45,"","","","Sweden Folkhalsomyndigheten Utbrott"
"Circulating vaccine-derived poliovirus type 1_Democratic Republic of the Congo_2017","Poliovirus","2017-04-01","2017-04-01","",1,"1","","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Circulating vaccine-derived poliovirus type 1_Democratic Republic of the Congo_2017","Poliovirus","2017-04-01","2017-04-01","Democratic Republic of the Congo",1,"1","","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Circulating vaccine-derived poliovirus type 1_Indonesia_2018","Poliovirus","2018-11-27","2018-11-27","",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Indonesia_2018","Poliovirus","2018-11-27","2018-11-27","Indonesia",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Laos_2015","Poliovirus","2015-09-07","2016-02-25","",33,"33","2","2","WHO DON"
"Circulating vaccine-derived poliovirus type 1_Laos_2015","Poliovirus","2015-09-07","2016-02-25","Laos",33,"33","2","2","WHO DON"
"Circulating vaccine-derived poliovirus type 1_Madagascar_2020","Poliovirus","2020-01-01","2020-12-31","",2,"2","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Madagascar_2020","Poliovirus","2020-01-01","2020-12-31","Madagascar",2,"2","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Mozambique_2020","Poliovirus","2020-01-01","2020-01-31","",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Mozambique_2020","Poliovirus","2020-01-01","2020-01-31","Mozambique",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Myanmar_2019","Poliovirus","2019-05-22","2019-08-29","",6,"6","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Myanmar_2019","Poliovirus","2019-05-22","2019-08-29","Myanmar (Burma)",6,"6","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Papua New Guinea_2018","Poliovirus","2018-04-24","2018-10-18","",26,"26","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Papua New Guinea_2018","Poliovirus","2018-04-24","2018-10-18","Papua New Guinea",26,"26","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Philippines_2019","Poliovirus","2019-10-28","2020-03-18","",6,"6","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Philippines_2019","Poliovirus","2019-10-30","2020-03-18","Malaysia",4,"4","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Philippines_2019","Poliovirus","2019-10-28","2019-11-30","Philippines",2,"2","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Ukraine_2015","Poliovirus","2015-06-30","2015-07-07","",2,"2","","","WHO DON"
"Circulating vaccine-derived poliovirus type 1_Ukraine_2015","Poliovirus","2015-06-30","2015-07-07","Ukraine",2,"2","","","WHO DON"
"Circulating vaccine-derived poliovirus type 1_Yemen_2019","Poliovirus","2019-06-01","2020-12-31","",32,"32","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 1_Yemen_2019","Poliovirus","2019-06-01","2020-12-31","Yemen",32,"32","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Afghanistan_2020","Poliovirus","2020-03-27","2020-12-31","",308,"308","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Afghanistan_2020","Poliovirus","2020-03-27","2020-12-31","Afghanistan",308,"308","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Central African Republic_2019","Poliovirus","2019-05-01","2020-12-09","",25,"25","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Central African Republic_2019","Poliovirus","2019-05-01","2020-12-09","Central African Republic",25,"25","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Chad_2019","Poliovirus","2019-01-01","2021-04-10","",199,"199","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Chad_2019","Poliovirus","2020-01-30","2020-10-28","Cameroon",7,"7","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Chad_2019","Poliovirus","2019-01-01","2020-12-31","Chad",74,"74","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Chad_2019","Poliovirus","2020-09-23","2021-04-10","South Sudan",59,"59","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Chad_2019","Poliovirus","2020-03-07","2020-12-31","Sudan",59,"59","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_China_2019","Poliovirus","2019-04-25","2019-04-25","",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_China_2019","Poliovirus","2019-04-25","2019-04-25","China",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Democratic Republic of the Congo_2017","Poliovirus","2017-02-20","2020-12-24","",209,"209","","","Multisource Fusion"
"Circulating vaccine-derived poliovirus type 2_Democratic Republic of the Congo_2017","Poliovirus","2019-04-05","2019-08-14","Angola",4,"4","","","Multisource Fusion"
"Circulating vaccine-derived poliovirus type 2_Democratic Republic of the Congo_2017","Poliovirus","2017-02-20","2020-12-24","Democratic Republic of the Congo",205,"205","","","Multisource Fusion"
"Circulating vaccine-derived poliovirus type 2_Ethiopia_2019","Poliovirus","2019-07-24","2020-12-31","",47,"47","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Ethiopia_2019","Poliovirus","2019-07-24","2020-12-31","Ethiopia",47,"47","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Guinea_2020","Poliovirus","2020-01-01","2020-12-31","",44,"44","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Guinea_2020","Poliovirus","2020-01-01","2020-12-31","Guinea",44,"44","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Mali_2020","Poliovirus","2020-02-06","2020-12-23","",52,"52","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Mali_2020","Poliovirus","2020-02-06","2020-12-23","Mali",52,"52","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Mozambique_2018","Poliovirus","2018-10-21","2018-10-21","",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Mozambique_2018","Poliovirus","2018-10-21","2018-10-21","Mozambique",1,"1","","","Global Polio Eradication Initiative"
"Circulating vaccine-derived poliovirus type 2_Myanmar (Burma)_2015","Poliovirus","2015-04-16","2015-12-21","",5,"2","","","WHO DON"
"Circulating vaccine-derived poliovirus type 2_Myanmar (Burma)_2015","Poliovirus","2015-04-16","2015-12-21","Myanmar (Burma)",5,"2","","","WHO DON"
